age,gender,hours_social,sleep_hours,work_hours,target
21.0,Male,2.0,7.2,9.0,1
21.0,Female,5.0,7.2,9.0,1
21.0,Female,3.0,7.2,9.0,1
21.0,Female,5.0,7.2,9.0,1
21.0,Female,2.0,7.2,9.0,1
22.0,Female,2.0,7.2,9.0,1
21.0,Female,3.0,7.2,9.0,1
21.0,Female,5.0,7.2,9.0,1
21.0,Female,5.0,7.2,9.0,1
20.0,Male,3.0,7.2,9.0,0
24.0,Male,2.0,7.2,9.0,1
21.0,Female,3.0,7.2,9.0,0
22.0,Female,3.0,7.2,9.0,1
21.0,Female,3.0,7.2,9.0,1
22.0,Male,5.0,7.2,9.0,1
23.0,Male,1.0,7.2,9.0,1
21.0,Male,3.0,7.2,9.0,1
25.0,Male,4.0,7.2,9.0,0
28.0,Male,1.0,7.2,10.0,1
34.0,Male,1.0,7.2,10.0,1
22.0,Male,2.0,7.2,9.0,0
23.0,Male,5.0,7.2,9.0,1
26.0,Female,3.0,6.4,10.0,1
23.0,Female,1.0,7.2,9.0,1
23.0,Male,3.0,7.2,9.0,1
35.0,Female,3.0,6.4,10.0,1
20.0,Male,3.0,7.2,9.0,1
35.0,Male,2.0,7.2,10.0,1
22.0,Female,4.0,7.2,9.0,1
21.0,Female,3.0,7.2,9.0,1
22.0,Female,3.0,7.2,9.0,1
35.0,Male,2.0,7.2,10.0,0
24.0,Male,2.0,7.2,9.0,0
18.0,Female,2.0,7.2,9.0,1
19.0,Female,3.0,7.2,9.0,1
21.0,Nonbinary ,5.0,7.2,9.0,1
21.0,Male,3.0,7.2,9.0,0
23.0,Male,3.0,7.2,9.0,1
22.0,Female,3.0,7.2,9.0,1
22.0,Male,2.0,7.2,9.0,1
21.0,Female,1.0,7.2,9.0,0
21.0,Female,3.0,7.2,9.0,1
56.0,Female,1.0,8.2,10.0,0
19.0,Female,5.0,7.2,9.0,1
24.0,Male,5.0,7.2,9.0,0
22.0,Female,5.0,7.2,9.0,1
65.0,Male,3.0,7.2,9.0,0
17.0,Female,3.0,7.2,9.0,1
40.0,Male,2.0,7.2,8.0,0
33.0,Female,3.0,6.4,10.0,0
22.0,Female,3.0,7.2,9.0,1
24.0,Male,5.0,7.2,9.0,1
26.0,Male,3.0,7.2,10.0,1
55.0,Male,1.0,7.2,9.0,0
26.0,Male,1.0,7.2,10.0,0
27.0,Male,5.0,7.2,10.0,1
22.0,Male,5.0,7.2,9.0,1
19.0,Female,2.0,7.2,9.0,1
22.0,Female,2.0,7.2,9.0,1
20.0,Female,1.0,7.2,9.0,1
25.0,Female,5.0,7.2,9.0,1
25.0,Female,1.0,7.2,9.0,1
18.0,Female,5.0,7.2,9.0,1
25.0,Male,1.0,7.2,9.0,1
19.0,Female,2.0,7.2,9.0,1
24.0,Male,1.0,7.2,9.0,1
21.0,Male,3.0,7.2,9.0,1
18.0,Non-binary,2.0,7.2,9.0,1
14.0,Male,1.0,7.2,9.0,1
25.0,Male,3.0,7.2,9.0,1
33.0,Male,3.0,7.2,10.0,0
23.0,Male,2.0,7.2,9.0,1
14.0,Female,5.0,7.2,9.0,1
38.0,Male,1.0,7.2,8.0,0
23.0,Female,4.0,7.2,9.0,1
26.0,Male,3.0,7.2,10.0,1
24.0,Male,2.0,7.2,9.0,1
21.0,Female,3.0,7.2,9.0,1
18.0,Female,3.0,7.2,9.0,1
28.0,Male,3.0,7.2,10.0,1
22.0,Male,2.0,7.2,9.0,1
21.0,Male,5.0,7.2,9.0,1
21.0,Male,5.0,7.2,9.0,1
21.0,Female,4.0,7.2,9.0,1
17.0,Male,2.0,7.2,9.0,1
24.0,NB,2.0,7.2,9.0,1
22.0,Female,1.0,7.2,9.0,1
32.0,Female,1.0,6.4,10.0,0
22.0,Male,2.0,7.2,9.0,0
20.0,Female,2.0,7.2,9.0,1
22.0,Male,2.0,7.2,9.0,1
28.0,Female,3.0,6.4,10.0,1
22.0,Female,5.0,7.2,9.0,1
17.0,unsure ,4.0,7.2,9.0,1
30.0,Female,4.0,6.4,10.0,1
22.0,Male,5.0,7.2,9.0,1
14.0,Male,4.0,7.2,9.0,1
20.0,Male,5.0,7.2,9.0,1
22.0,Female,5.0,7.2,9.0,1
16.0,Male,4.0,7.2,9.0,0
22.0,Female,2.0,7.2,9.0,1
22.0,Male,1.0,7.2,9.0,1
22.0,Male,3.0,7.2,9.0,1
22.0,Male,1.0,7.2,9.0,1
21.0,Female,4.0,7.2,9.0,0
23.0,Female,4.0,7.2,9.0,1
23.0,Female,2.0,7.2,9.0,1
48.0,Female,1.0,6.6,8.0,0
21.0,Female,3.0,7.2,9.0,1
47.0,Female,2.0,6.6,8.0,0
